Table,Column,Inst1,Inst2,comparable,comparable_rel,missing_1,missing_2,useprob_1,useprob_2,accuracy,mismatch_type,crammers_v,pearson_r
empfaenger,EBasisBlutgr,ET,IQTIG,12527,0.8377022870135081,0.0,0.1622977129864919,,1.0,0.6227348926319151,False,0.9904473628962083,
empfaenger,EBasisGeburtsdatum,ET,IQTIG,13919,0.9307877490972315,0.0,0.06921225090276849,,1.0,0.0,False,,
empfaenger,EBasisGeschlecht,ET,IQTIG,13919,0.9307877490972315,0.0,0.06921225090276849,,1.0,0.0,False,0.9869883906650356,
empfaenger,EBasisGewichtEinheit,ET,IQTIG,13916,0.9305871338772235,0.0,0.06941286612277651,,1.0,1.0,False,inf,
empfaenger,EBasisGewichtWert,ET,IQTIG,13916,0.9305871338772235,0.0,0.06941286612277651,,1.0,0.2977867203219316,False,,0.054487062653365365
empfaenger,EBasisGroesseEinheit,ET,IQTIG,13916,0.9305871338772235,0.0,0.06941286612277651,,1.0,1.0,False,inf,
empfaenger,EBasisGroesseWert,ET,IQTIG,13916,0.9305871338772235,0.0,0.06941286612277651,,1.0,0.7207530899683817,False,,0.01106164051932109
empfaenger,EIdEmpfaengerNrET,ET,IQTIG,13919,0.9307877490972315,0.0,0.06921225090276849,,1.0,1.0,False,1.0,
followup_niere,FNDate,ET,IQTIG,2008,0.04261550542244105,0.6823149897069123,0.32517668032004077,0.9265629860031104,0.8459078449288605,1.0,False,,1.0
followup_niere,FNIdEmpfaengerNrET,ET,IQTIG,2008,0.04261550542244105,0.6823149897069123,0.2750695048706467,1.0,1.0,1.0,False,1.0,
organ_entnahme_niere,ONAnzahlArterien,DSO,ET,13577,0.9573402905090961,0.04265970949090396,0.003666619658722324,0.9140495867768595,0.0,0.9997790380791044,False,,0.9994756303068187
organ_entnahme_niere,ONAnzahlVenen,DSO,ET,13576,0.9572697785925821,0.042730221407417855,0.003807643491750106,0.9108910891089109,0.0,1.0,False,,1.0
organ_entnahme_niere,ONArteriePatch,DSO,ET,13546,0.9551544210971654,0.04449301932026512,0.006275560569736285,0.866877971473851,0.056179775280898875,0.0,False,1.0,
organ_entnahme_niere,ONIdSpenderNrET,DSO,ET,13588,0.9581159215907489,0.041884078409251166,0.001903821745875053,0.9545454545454546,0.0,1.0,False,1.0,
organ_entnahme_niere,ONIdSpenderNrET,DSO,IQTIG,0,0.0,0.041884078409251166,0.998096178254125,0.045454545454545456,0.9599434828682445,,False,,
organ_entnahme_niere,ONIdSpenderNrET,ET,IQTIG,0,0.0,0.001903821745875053,0.998096178254125,1.0,1.0,,False,,
organ_entnahme_niere,ONIschaemiezeitWarmErsteEinheit,DSO,ET,5632,0.3971231138062333,0.6028768861937668,0.001903821745875053,0.9968421052631579,0.0,1.0,False,inf,
